index,fieldID,descDitheredRA,descDitheredDec,expMJD,filter,fiveSigmaDepth,fiveSigmaDepth.1,rotSkyPos,rotTelPos,FWHMeff,obsHistID,mag,snid_in,chip,xpixel,ypixel
135,1297,58.098565197444735,-30.35054843633143,60187.32975,lsstz,22.614376130700002,22.614376130700002,1.611236,-0.071814,0.968572,427040,24.650196427917738,MS_9172_684,"R:1,2 S:0,2",961.1245842790836,2328.5926436998125
135,1297,58.098565197444735,-30.35054843633143,60187.32975,lsstz,22.614376130700002,22.614376130700002,1.611236,-0.071814,0.968572,427040,25.6211412022096,MS_9172_1425,"R:1,3 S:1,0",66.70163294031096,3133.8267118629265
135,1297,58.098565197444735,-30.35054843633143,60187.32975,lsstz,22.614376130700002,22.614376130700002,1.611236,-0.071814,0.968572,427040,23.57678028041399,MS_9172_1469,"R:1,1 S:1,2",2289.04157209096,3621.6385283573295
135,1297,58.098565197444735,-30.35054843633143,60187.32975,lsstz,22.614376130700002,22.614376130700002,1.611236,-0.071814,0.968572,427040,26.848682798822466,MS_9172_1501,"R:1,2 S:0,1",68.5364354913969,1787.614643227915
135,1297,58.098565197444735,-30.35054843633143,60187.32975,lsstz,22.614376130700002,22.614376130700002,1.611236,-0.071814,0.968572,427040,24.66655620320063,MS_9172_2483,"R:1,3 S:0,0",2307.5028502431283,3047.8619796047833
135,1297,58.098565197444735,-30.35054843633143,60187.32975,lsstz,22.614376130700002,22.614376130700002,1.611236,-0.071814,0.968572,427040,25.12049862351368,MS_9172_2529,"R:1,2 S:0,1",2000.6014888909863,3191.5852817576165
137,1297,56.58551558059881,-30.51470084463641,60187.353013,lsstz,22.619381901100002,22.619381901100002,1.498023,-0.136893,0.980529,427086,25.62188568885444,MS_9172_1425,"R:3,3 S:0,0",2362.254606461812,676.4728403904072
137,1297,56.58551558059881,-30.51470084463641,60187.353013,lsstz,22.619381901100002,22.619381901100002,1.498023,-0.136893,0.980529,427086,23.577690242766923,MS_9172_1469,"R:3,2 S:0,0",327.51431533037703,1316.263757195352
137,1297,56.58551558059881,-30.51470084463641,60187.353013,lsstz,22.619381901100002,22.619381901100002,1.498023,-0.136893,0.980529,427086,26.838912731203667,MS_9172_1501,"R:3,2 S:0,1",2386.664105252947,3634.0278604474274
137,1297,56.58551558059881,-30.51470084463641,60187.353013,lsstz,22.619381901100002,22.619381901100002,1.498023,-0.136893,0.980529,427086,24.663893884867765,MS_9172_2483,"R:2,3 S:2,1",411.0780510851229,535.5230912041116
137,1297,56.58551558059881,-30.51470084463641,60187.353013,lsstz,22.619381901100002,22.619381901100002,1.498023,-0.136893,0.980529,427086,25.121542022709928,MS_9172_2529,"R:2,2 S:2,2",110.19926843907474,759.397689959697
138,1297,59.077962454464725,-30.591820963861014,60193.32304600001,lssti,23.4519452109,23.4519452109,0.124929,-1.538691,0.968445,428494,24.59367768131805,MS_9172_355,"R:0,3 S:0,0",1405.8190300662118,1642.0013289478056
138,1297,59.077962454464725,-30.591820963861014,60193.32304600001,lssti,23.4519452109,23.4519452109,0.124929,-1.538691,0.968445,428494,26.49378299591059,MS_9172_1425,"R:0,3 S:0,0",3943.802014410843,1659.5345621967263
138,1297,59.077962454464725,-30.591820963861014,60193.32304600001,lssti,23.4519452109,23.4519452109,0.124929,-1.538691,0.968445,428494,24.187189057305172,MS_9172_1469,"R:0,2 S:0,0",1879.4359499393354,1619.3685250930337
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,24.59400713630093,MS_9172_355,"R:3,1 S:1,1",3151.1622251876947,175.25760137663232
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,25.380644200229483,MS_9172_684,"R:3,1 S:1,1",2298.3993570905504,3505.6050943411074
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,26.494048229589147,MS_9172_1425,"R:3,1 S:1,2",1466.4253450574706,122.8002589315633
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,24.188112521509577,MS_9172_1469,"R:3,0 S:1,1",3635.180949209012,481.65594522421713
