,obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,descDitheredRotTelPos,airmass,fiveSigmaDepth,expMJD,descDitheredRotSkyPos,fieldRA,fieldDec,rotSkyPos,rotTelPos,d1,d2,d3,d4
1219,694239,r,0.697352,54.940239076742145,-31.739283540169517,-17.24236270354894,1.03784865324,24.0095002434,60605.311064,253.78878445183062,54.04475968773052,-30.452706811203253,203.61424619104167,-62.454233134204145,1.168446541716808,0.9370006037316803,2.714974430801219,2.61146276623319
1222,694249,r,0.694781,56.78903103328152,-31.510673379912323,-15.329313921386635,1.03163073178,24.0106824303,60605.315798,254.919467707478,57.23951505760047,-30.8641478038867,207.55722714557297,-60.541184352041846,0.8460189020078089,0.8303977710616463,1.1543084724968715,1.1400346029713833
1223,694251,r,0.693826,58.39084787156889,-33.29371803835944,-15.156452554595667,1.02936792976,24.0261661111,60605.316728,263.15807780464985,58.43974704684052,-33.82473532288669,220.0117253298907,-60.36832298525087,3.0590142770559536,2.392866192083491,2.317460304906713,1.3349163745323223
1227,694824,r,0.93637,55.77184836343776,-32.34312376045789,71.20129331356885,1.04090518149,24.3031894901,60606.209817,159.32910013549187,55.12719155429167,-33.448015572588176,83.69360671236522,0.0,1.3570854962578398,0.39373754252144805,2.323687191969,1.916954484056984
1230,694850,r,0.926752,55.46023219383622,-32.942895980400834,107.67446874866827,1.02480192735,24.1168521091,60606.221498,189.86215278865092,55.12719155429167,-33.448015572588176,115.22347417841443,36.4731754350994,1.9961125830663975,1.047097407980106,2.9009661582396125,2.3408891872514097
1232,694853,r,0.929285,56.83688953757494,-31.98628564565042,108.25716682631631,1.02974872888,24.1035845322,60606.222903,195.2725631862024,57.23951505760047,-30.8641478038867,128.43158375066773,37.05587351274745,1.2173663225239668,0.7099063584090759,1.3986925343696386,0.9865379415412368
1233,694886,r,0.92528,60.03131977549666,-32.30782956027783,109.85291158153517,1.02213214808,24.061824735,60606.237851,193.5511702870978,60.47300237442128,-31.197781127991377,127.42352180591456,38.65161826796631,3.6720329005176606,3.4266483724074526,2.167933510334424,1.7470623288862088
1234,694887,r,0.920228,55.89313585257949,-31.510100422117187,109.9519759843133,1.01255618609,24.067242998,60606.2383,193.72089784012707,57.23951505760047,-30.8641478038867,127.24601948098302,38.75068267074443,0.5182161481200873,0.4982552932284985,1.8718901334810598,1.8572172741330035
1237,697808,g,0.733228,55.4967636619401,-32.28897924881803,75.1321848586229,1.40487467189,24.9010815791,60610.103823,177.43582005133152,55.12719155429167,-33.448015572588176,117.15353980709213,16.35301761394688,1.3583041203781885,0.5148442257460654,2.4904322682129685,2.139070021884392
1238,697809,g,0.7503,58.521281944532404,-31.968867728678436,75.1952675118668,1.46076712815,24.8447648448,60610.10427,178.7905680282027,57.23951505760047,-30.8641478038867,120.39625174441453,16.41610026719078,2.358222759240074,2.138709386623508,1.065978434247413,0.44324143467519256
1239,697810,g,0.729231,54.19842615753473,-31.618561332735453,75.24626075563346,1.39242794574,24.9028333991,60610.104719,177.66163510759458,54.04475968773052,-30.452706811203253,119.81315259630988,16.467093510957426,1.6588285478920828,1.5777691603854116,3.306154139823034,3.2528693470463725
1242,697853,g,0.700784,59.05293185582548,-30.657539222962523,79.97963698854771,1.30195880257,24.9819098342,60610.127367,182.35179176340756,57.23951505760047,-30.8641478038867,122.5864402120816,21.200469743871697,2.643745596770237,2.9328775446111375,0.9668326147401404,1.615877108324185
1244,697958,g,0.637661,58.18628517281618,-32.94742234698237,99.06182446804125,1.10988548321,25.1626010651,60610.176165,191.26540892664246,58.43974704684052,-33.82473532288669,130.42249749718832,40.28265722336523,2.6890859477212166,2.0734636416073835,1.9538219420464835,0.9603677656660158
1246,697990,g,0.625235,58.32325803895409,-33.5291463963787,102.14783244839538,1.07354148066,25.1904000764,60610.190766,190.22019711142443,58.43974704684052,-33.82473532288669,130.31203123428708,43.36866520371935,3.2022534533368505,2.4807864038330014,2.5438694888868674,1.5531160105814432
1258,707661,z,0.953439,55.017138776410064,-31.515257042273365,4.875469766106714,1.36352902645,22.7800842375,60625.067949,107.16476639103863,54.04475968773052,-30.452706811203253,125.19385654616298,22.297569329988196,0.9855949767637896,0.9661118830365525,2.601322153621334,2.5820873041820604
1259,707662,z,0.954995,54.675766984285914,-32.666787618927295,4.923941995574782,1.3668573032,22.7799705378,60625.068402,105.83138170111138,55.12719155429167,-33.448015572588176,122.36367422133475,22.346041559456264,2.010897361932603,1.3025054866221024,3.2791101544715815,2.886728012139693
1262,707674,z,0.959942,57.7537436726165,-29.99795020920792,5.794379477937528,1.37914885543,22.7730984758,60625.07418,109.76961160350083,57.23951505760047,-30.8641478038867,125.96700579491248,23.21647904181901,1.8131023006673215,2.503495939383213,1.0242672587297756,2.0131445151698713
