obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
183853,g,1.308461,59.8860347350321,-30.89709287710672,1.1388437723,24.3943383387,59823.327159,3.3341964551827754,3.4935888632145295,1.620769443250217,1.9506486713696625
183892,g,1.239333,59.467260150142266,-31.4151040196845,1.08646591501,24.4623379489,59823.345302,2.9943112103211194,3.0070239420406537,1.321798937544142,1.378478433407556
187501,z,0.810042,54.39662400049458,-31.944345135046838,1.2919597619,23.0500228724,59827.26388,1.6618504056511985,1.3612780864049643,3.2149090485050333,3.0571282980156234
190269,y,0.662216,56.041027602004455,-32.8884076940839,1.28566221183,22.3151160118,59835.244416,1.888728522907294,0.8890821018601265,2.5157008314355127,1.876740928329579
190270,y,0.67426,57.25660261283736,-31.561895806797015,1.32554112818,22.2792089922,59835.244863,1.2120335658824148,1.154537374379874,0.8481531948471627,0.7689443900017949
190281,y,0.691493,57.45424589968758,-33.484856758815084,1.30566344301,22.2674818514,59835.249785,2.7725199199893686,1.9237363199714512,2.5273527681613417,1.554184663435306
191127,y,0.823866,54.29513234847673,-30.253890456292858,1.44833092418,22.0348486274,59836.216056,1.6458404641648434,2.275605924313332,3.27400604650529,3.620008841328047
191159,y,0.910574,54.46521560810283,-31.139855094903652,1.34538193781,21.9718113369,59836.230418,1.3220085590351458,1.5651430649456965,3.030776457088811,3.1318827534302716
191377,z,0.855579,56.506352141126214,-30.776141486554604,1.02111325198,22.9156983866,59836.337616,0.48880909560561997,1.2979430844670252,1.3011962347289474,1.767333570497175
191449,z,0.73596,54.02448794321035,-30.984182461966608,1.00161296541,23.0810055893,59836.376727,1.693536380338372,1.9670630271968261,3.407816901141374,3.5386253598887216
192356,i,0.70809,58.43574683198592,-33.02058905742058,1.00254124627,23.6336506342,59837.382519,2.8892057954209895,2.2935352909487268,2.0540871760594572,1.0847225586015103
193112,r,0.908968,54.5347912248876,-32.717379792237345,1.02984573356,23.9387972529,59839.317115,2.1208127549594664,1.4305325942908254,3.407284457200443,3.013571724393723
193145,r,0.749,55.19860645434997,-33.12589870016562,1.01306977554,24.148380269,59839.332807,2.231720665845143,1.3129350628884229,3.186533523795098,2.6155926382040904
193783,g,0.873632,56.782823444835024,-30.441706021536742,1.45605685526,24.6953681843,59840.212674,0.8743955335263603,1.6959910279645065,1.1859784745434425,1.8739266545568272
193822,g,0.882511,55.50713255610682,-32.57757809022543,1.27049119865,24.7576826652,59840.23363,1.6322485131660265,0.7121749121551295,2.641551888584985,2.1850379639759554
193823,g,0.897961,57.67070883386937,-31.44558537438546,1.30843217423,24.7297869834,59840.234076,1.4965718498465255,1.525401896719684,0.5271069549533411,0.6211503999803228
193824,g,0.877635,55.39479140673574,-29.959905811611232,1.25900002055,24.7607393672,59840.234524,1.1635369507413973,2.1050308079612465,2.474298117101584,3.0248123331693986
193826,g,0.898644,57.82205873630076,-33.32219404077745,1.30948959111,24.7330533325,59840.235464,2.7876581255987434,2.0250701242096745,2.327073243586606,1.3306525877833968
193900,r,0.772644,54.943894637257564,-31.445127008149353,1.10915560849,24.351773088,59840.272869,1.0068682896527599,1.0558676949341201,2.651000178455659,2.657990577186943
197402,r,0.864414,57.31060195702546,-32.14688571562559,1.19656180853,24.3275975835,59844.245627,1.600632206196918,1.1202265356640433,1.2885250309574183,0.6023562347435798
197403,r,0.849017,54.452653772979204,-30.738498159414508,1.16088815324,24.3545272041,59844.246075,1.3536360251743313,1.8266641915432835,3.0559063082979554,3.280797191448614
197424,r,0.866378,58.36509100996317,-29.566684876812953,1.14215321074,24.3527715826,59844.260033,2.494998809963509,3.169871385871165,1.467575478046244,2.453440440234329
197425,r,0.853376,55.74180379371541,-30.328374969659865,1.11341238941,24.3745399294,59844.260482,0.7073925892746686,1.686159954977453,2.0552176420425257,2.5548917024801567
197706,z,0.782508,54.9601905572781,-32.843201324048074,1.0400607667,22.9844997606,59844.398517,2.0435642047821823,1.2171120244845286,3.170593116401992,2.7008413739689043
197707,z,0.776953,59.7432652554538,-32.7241979899994,1.02806766876,22.9668943652,59844.398966,3.61631562426224,3.2435426347098035,2.272577123658082,1.6409212231864536
199498,r,1.141655,54.62732309938375,-31.541326621951818,1.30910106405,23.9846847729,59849.200835,1.2921053759336134,1.2538869778869566,2.9329637667495736,2.9036477320144902
200736,u,1.168589,56.78602736145627,-31.15469470179754,1.27544485551,23.1709388833,59851.209934,0.6907528146671428,1.078398872786062,1.0511718592047175,1.3357055126606838
